Maso hovězí, kýta, syrová (separovatelný tuk 2 %);;;;
Název nutrientu;Kód EuroFIR;Jednotka;Hodnota;Citace
Nutrienty základní;;;;
Energetická hodnota (kJ);ENERC;kJ;486;00050
Energetická hodnota (kcal);ENERC;kcal;115;00050
Bílkoviny celkové [NCF:6.25];PROT;g;21.9;00050
Dusík celkový;NT;g;3.5;00050
Tuky celkové [FACF:0.000];FAT;g;3.1;00050
Sacharidy celkové;CHOT;g;0;00050
Sacharidy využitelné;CHO;g;0;00050
Vláknina potravy;FIBT;g;0;00050
Voda celková;WATER;g;74.0;00050
Ethanol;ALC;g;0;00050
Popel;ASH;g;1.1;00050
Vitaminy;;;;
Vitamin B1 (thiamin);THIA;mg;0.04;00050
Vitamin B2 (riboflavin);RIBF;mg;0.16;00050
Niacin ekvivalent;NIAEQ;NE;;
Niacin;NIA;mg;5.6;00050
Foláty celkové;FOL;μg;;
Kyselina pantothenová;PANTAC;mg;;
Vitamin B6 (pyridoxin);PYRXN;mg;0.37;00050
Vitamin B12;VITB12;μg;;
Vitamin C;VITC;mg;0;00050
Vitamin A;VITA;RE;2;00012
Retinol;RETOL;μg;2;00050
beta-karoten;CARTB;μg;0;00050
Vitamin D;VITD;μg;;
Vitamin E;VITE;ATE;0.19;00050
alfa - tokoferol;TOCPHA;mg;0.19;00050
Minerální látky;;;;
Sodík;NA;mg;46;00050
Hořčík;MG;mg;25;00050
Fosfor;P;mg;205;00050
Draslík;K;mg;299;00050
Vápník;CA;mg;4;00050
Železo;FE;mg;1.7;00050
Měď;CU;mg;;
Zinek;ZN;mg;4.2;00050
Selen;SE;μg;;
Jód;ID;μg;;
Sůl;NACL;g;0.1;00050
Cukry, škrob, polyoly, organické kyseliny;;;;
Cukry celkové;SUGAR;g;0;00000
Fruktosa;FRUS;g;;
Glukosa;GLUS;g;;
Laktosa;LACS;g;;
Maltosa;MALS;g;;
Sacharosa;SUCS;g;;
Škrob;STARCH;g;;
Organické kyseliny;OA;g;;
Polyoly;POLY;g;;
Mastné kyseliny a cholesterol;;;;
Nasycené mastné kyseliny;FASAT;g;1.53;00050
C 4:0;F4:0;g;;
C 6:0;F6:0;g;;
C 8:0;F8:0;g;;
C 10:0;F10:0;g;0;00050
C 12:0;F12:0;g;0;00050
C 13:0;F13:0;g;;
C 14:0;F14:0;g;0.09;00050
C 15:0;F15:0;g;0.02;00050
C 16:0;F16:0;g;0.82;00050
C 17:0;F17:0;g;0.03;00050
C 18:0;F18:0;g;0.56;00050
C 20:0;F20:0;g;0.01;00050
C 22:0;F22:0;g;;
Mononenasycené mastné kyseliny;FAMS;g;1.15;00050
C 14:1;F14:1CN5;g;0.01;00050
C 16:1;F16:1CN7;g;0.11;00050
C 17:1;F17:1;g;;
C 18:1, n-9;F18:1CN9;g;1.02;00050
C 20:1, n-11;F20:1CN11;g;0.01;00050
C 22:1, n-9;F22:1CN9;g;;
Polynenasycené mastné kyseliny;FAPU;g;0.09;00050
n-6 mastné kyseliny;FACN6;g;0.08;00050
C 18:2, n-6;F18:2CN6;g;0.07;00050
C 18:3, n-6;F18:3CN6;g;;
C 20:4, n-6;F20:4CN6;g;0;00050
n-3 mastné kyseliny;FACN3;g;0.02;00050
C 18:3, n-3;F18:3CN3;g;0.01;00050
C 20:5, n-3 (EPA);F20:5CN3;g;;
C 22:5, n-3 (DPA);F22:5CN3;g;;
C 22:6, n-3 (DHA);F22:6CN3;g;;
Trans- mastné kyseliny;FATRN;g;0.02;00050
C 18:1, n-9 trans;F18:1TN9;g;0.01;00050
C 18:2, n-6 trans;F18:2 TTN6;g;;
Cholesterol;CHORL;mg;47;00050
Aminokyseliny;;;;
Glycin;GLY;mg;986;00050
Alanin;ALA;mg;1273;00050
Valin;VAL;mg;1090;00050
Leucin;LEU;mg;1769;00050
Isoleucin;ILE;mg;1039;00050
Serin;SER;mg;842;00050
Threonin;THR;mg;979;00050
Lysin;LYS;mg;1140;00050
Asparagová kyselina;ASP;mg;2005;00050
Glutamová kyselina;GLU;mg;3311;00050
Arginin;ARG;mg;1488;00050
Cystein;CYS;mg;327;00050
Methionin;MET;mg;601;00050
Fenylalanin;PHE;mg;895;00050
Tyrosin;TYR;mg;905;00050
Tryptofan;TRP;mg;;
Histidin;HIS;mg;839;00050
Prolin;PRO;mg;762;00050
