Jahody zahradní;;;;
Název nutrientu;Kód EuroFIR;Jednotka;Hodnota;Citace
Nutrienty základní;;;;
Energetická hodnota (kJ);ENERC;kJ;158;00012
Energetická hodnota (kcal);ENERC;kcal;37;00012
Bílkoviny celkové [NCF:6.25];PROT;g;0.8;00001, 										00002
Dusík celkový;NT;g;0.1;00012
Tuky celkové [FACF:0.800];FAT;g;0.4;00001, 										00002
Sacharidy celkové;CHOT;g;8.6;00001, 										00002
Sacharidy využitelné;CHO;g;6.7;00012
Vláknina potravy;FIBT;g;1.9;00006
Voda celková;WATER;g;89.5;00020
Ethanol;ALC;g;0;00000
Popel;ASH;g;0.7;00001, 										00002
Vitaminy;;;;
Vitamin B1 (thiamin);THIA;mg;0.03;00001, 										00002
Vitamin B2 (riboflavin);RIBF;mg;0.06;00001, 										00002
Niacin ekvivalent;NIAEQ;NE;;
Niacin;NIA;mg;;
Foláty celkové;FOL;μg;;
Kyselina pantothenová;PANTAC;mg;;
Vitamin B6 (pyridoxin);PYRXN;mg;;
Vitamin B12;VITB12;μg;;
Vitamin C;VITC;mg;66.6;00020
Vitamin A;VITA;RE;1;00012
Retinol;RETOL;μg;0;00000
beta-karoten;CARTB;μg;14;00002
Vitamin D;VITD;μg;;
Vitamin E;VITE;ATE;0.45;00012
alfa - tokoferol;TOCPHA;mg;0.45;00004
Minerální látky;;;;
Sodík;NA;mg;3;00001, 										00002
Hořčík;MG;mg;13;00001, 										00002
Fosfor;P;mg;28;00001, 										00002
Draslík;K;mg;143;00001, 										00002
Vápník;CA;mg;27;00001, 										00002
Železo;FE;mg;0.82;00001, 										00002
Měď;CU;mg;;
Zinek;ZN;mg;;
Selen;SE;μg;;
Jód;ID;μg;;
Sůl;NACL;g;0;00012
Cukry, škrob, polyoly, organické kyseliny;;;;
Cukry celkové;SUGAR;g;6.0;00012
Fruktosa;FRUS;g;2.5;00020
Glukosa;GLUS;g;2.5;00020
Laktosa;LACS;g;;
Maltosa;MALS;g;;
Sacharosa;SUCS;g;1.0;00020
Škrob;STARCH;g;;
Organické kyseliny;OA;g;;
Polyoly;POLY;g;;
Mastné kyseliny a cholesterol;;;;
Nasycené mastné kyseliny;FASAT;g;0.04;00012
C 4:0;F4:0;g;;
C 6:0;F6:0;g;;
C 8:0;F8:0;g;;
C 10:0;F10:0;g;;
C 12:0;F12:0;g;;
C 13:0;F13:0;g;;
C 14:0;F14:0;g;;
C 15:0;F15:0;g;;
C 16:0;F16:0;g;0.04;00020
C 17:0;F17:0;g;;
C 18:0;F18:0;g;;
C 20:0;F20:0;g;;
C 22:0;F22:0;g;;
Mononenasycené mastné kyseliny;FAMS;g;0.06;00012
C 14:1;F14:1CN5;g;;
C 16:1;F16:1CN7;g;;
C 17:1;F17:1;g;;
C 18:1, n-9;F18:1CN9;g;0.06;00020
C 20:1, n-11;F20:1CN11;g;;
C 22:1, n-9;F22:1CN9;g;;
Polynenasycené mastné kyseliny;FAPU;g;0.24;00012
n-6 mastné kyseliny;FACN6;g;0.13;00012
C 18:2, n-6;F18:2CN6;g;0.13;00020
C 18:3, n-6;F18:3CN6;g;;
C 20:4, n-6;F20:4CN6;g;;
n-3 mastné kyseliny;FACN3;g;0.11;00012
C 18:3, n-3;F18:3CN3;g;0.11;00020
C 20:5, n-3 (EPA);F20:5CN3;g;;
C 22:5, n-3 (DPA);F22:5CN3;g;;
C 22:6, n-3 (DHA);F22:6CN3;g;;
Trans- mastné kyseliny;FATRN;g;;00012
C 18:1, n-9 trans;F18:1TN9;g;;
C 18:2, n-6 trans;F18:2 TTN6;g;;
Cholesterol;CHORL;mg;0;00000
Aminokyseliny;;;;
Glycin;GLY;mg;;
Alanin;ALA;mg;;
Valin;VAL;mg;;
Leucin;LEU;mg;;
Isoleucin;ILE;mg;;
Serin;SER;mg;;
Threonin;THR;mg;;
Lysin;LYS;mg;;
Asparagová kyselina;ASP;mg;;
Glutamová kyselina;GLU;mg;;
Arginin;ARG;mg;;
Cystein;CYS;mg;;
Methionin;MET;mg;;
Fenylalanin;PHE;mg;;
Tyrosin;TYR;mg;;
Tryptofan;TRP;mg;;
Histidin;HIS;mg;;
Prolin;PRO;mg;;
