Droby kuřecí;;;;
Název nutrientu;Kód EuroFIR;Jednotka;Hodnota;Citace
Nutrienty základní;;;;
Energetická hodnota (kJ);ENERC;kJ;493;00012
Energetická hodnota (kcal);ENERC;kcal;117;00012
Bílkoviny celkové [NCF:6.25];PROT;g;18.0;00012
Dusík celkový;NT;g;2.88;00072
Tuky celkové [FACF:0.741];FAT;g;4.4;00072
Sacharidy celkové;CHOT;g;1.40;00012
Sacharidy využitelné;CHO;g;1.40;00012
Vláknina potravy;FIBT;g;0;00000
Voda celková;WATER;g;75.0;00072
Ethanol;ALC;g;0;00000
Popel;ASH;g;1.2;00072
Vitaminy;;;;
Vitamin B1 (thiamin);THIA;mg;0.09;00041
Vitamin B2 (riboflavin);RIBF;mg;0.99;00041
Niacin ekvivalent;NIAEQ;NE;;
Niacin;NIA;mg;;
Foláty celkové;FOL;μg;;
Kyselina pantothenová;PANTAC;mg;;
Vitamin B6 (pyridoxin);PYRXN;mg;;
Vitamin B12;VITB12;μg;;
Vitamin C;VITC;mg;16.2;00041
Vitamin A;VITA;RE;2657;00012
Retinol;RETOL;μg;2657;00041
beta-karoten;CARTB;μg;;
Vitamin D;VITD;μg;;
Vitamin E;VITE;ATE;;
alfa - tokoferol;TOCPHA;mg;;
Minerální látky;;;;
Sodík;NA;mg;79;00072
Hořčík;MG;mg;18;00041
Fosfor;P;mg;197;00041
Draslík;K;mg;228;00041
Vápník;CA;mg;10;00041
Železo;FE;mg;5.9;00041
Měď;CU;mg;;
Zinek;ZN;mg;;
Selen;SE;μg;;
Jód;ID;μg;;
Sůl;NACL;g;0.20;00012
Cukry, škrob, polyoly, organické kyseliny;;;;
Cukry celkové;SUGAR;g;0;00000
Fruktosa;FRUS;g;0;00000
Glukosa;GLUS;g;0;00000
Laktosa;LACS;g;0;00000
Maltosa;MALS;g;0;00000
Sacharosa;SUCS;g;0;00000
Škrob;STARCH;g;;
Organické kyseliny;OA;g;;
Polyoly;POLY;g;;
Mastné kyseliny a cholesterol;;;;
Nasycené mastné kyseliny;FASAT;g;1.32;00012
C 4:0;F4:0;g;0;00072
C 6:0;F6:0;g;0;00072
C 8:0;F8:0;g;0;00072
C 10:0;F10:0;g;0;00072
C 12:0;F12:0;g;0;00072
C 13:0;F13:0;g;0;00072
C 14:0;F14:0;g;0.02;00072
C 15:0;F15:0;g;0;00072
C 16:0;F16:0;g;0.89;00072
C 17:0;F17:0;g;0;00072
C 18:0;F18:0;g;0.40;00072
C 20:0;F20:0;g;0;00072
C 22:0;F22:0;g;0;00072
Mononenasycené mastné kyseliny;FAMS;g;1.42;00012
C 14:1;F14:1CN5;g;0;00072
C 16:1;F16:1CN7;g;0.13;00072
C 17:1;F17:1;g;0;00072
C 18:1, n-9;F18:1CN9;g;1.29;00072
C 20:1, n-11;F20:1CN11;g;0;00072
C 22:1, n-9;F22:1CN9;g;0;00072
Polynenasycené mastné kyseliny;FAPU;g;0.46;00012
n-6 mastné kyseliny;FACN6;g;0.44;00012
C 18:2, n-6;F18:2CN6;g;0.44;00072
C 18:3, n-6;F18:3CN6;g;0;00072
C 20:4, n-6;F20:4CN6;g;0;00072
n-3 mastné kyseliny;FACN3;g;0.03;00012
C 18:3, n-3;F18:3CN3;g;0.03;00072
C 20:5, n-3 (EPA);F20:5CN3;g;0;00072
C 22:5, n-3 (DPA);F22:5CN3;g;;
C 22:6, n-3 (DHA);F22:6CN3;g;0;00072
Trans- mastné kyseliny;FATRN;g;0;00012
C 18:1, n-9 trans;F18:1TN9;g;0;00072
C 18:2, n-6 trans;F18:2 TTN6;g;0;00072
Cholesterol;CHORL;mg;262;00041
Aminokyseliny;;;;
Glycin;GLY;mg;;
Alanin;ALA;mg;;
Valin;VAL;mg;;
Leucin;LEU;mg;;
Isoleucin;ILE;mg;;
Serin;SER;mg;;
Threonin;THR;mg;;
Lysin;LYS;mg;;
Asparagová kyselina;ASP;mg;;
Glutamová kyselina;GLU;mg;;
Arginin;ARG;mg;;
Cystein;CYS;mg;;
Methionin;MET;mg;;
Fenylalanin;PHE;mg;;
Tyrosin;TYR;mg;;
Tryptofan;TRP;mg;;
Histidin;HIS;mg;;
Prolin;PRO;mg;;
