Salát holandský, trh;;;;
Název nutrientu;Kód EuroFIR;Jednotka;Hodnota;Citace
Nutrienty základní;;;;
Energetická hodnota (kJ);ENERC;kJ;1370;00012
Energetická hodnota (kcal);ENERC;kcal;331;00012
Bílkoviny celkové [NCF:6.25];PROT;g;10.9;00012
Dusík celkový;NT;g;1.7;00009
Tuky celkové [FACF:0.956];FAT;g;30.6;00011
Sacharidy celkové;CHOT;g;2.9;00012
Sacharidy využitelné;CHO;g;;
Vláknina potravy;FIBT;g;;
Voda celková;WATER;g;53.4;00011
Ethanol;ALC;g;0;00000
Popel;ASH;g;2.3;00009
Vitaminy;;;;
Vitamin B1 (thiamin);THIA;mg;0.05;00011
Vitamin B2 (riboflavin);RIBF;mg;0.22;00011
Niacin ekvivalent;NIAEQ;NE;;
Niacin;NIA;mg;0.5;00011
Foláty celkové;FOL;μg;;
Kyselina pantothenová;PANTAC;mg;;
Vitamin B6 (pyridoxin);PYRXN;mg;0.07;00011
Vitamin B12;VITB12;μg;;
Vitamin C;VITC;mg;0;00009
Vitamin A;VITA;RE;107;00012
Retinol;RETOL;μg;60;00009
beta-karoten;CARTB;μg;560;00009
Vitamin D;VITD;μg;;
Vitamin E;VITE;ATE;7.12;00012
alfa - tokoferol;TOCPHA;mg;7.12;00009
Minerální látky;;;;
Sodík;NA;mg;589;00011
Hořčík;MG;mg;10;00011
Fosfor;P;mg;183;00011
Draslík;K;mg;83;00011
Vápník;CA;mg;182;00011
Železo;FE;mg;0.9;00011
Měď;CU;mg;0.04;00011
Zinek;ZN;mg;1.23;00011
Selen;SE;μg;;
Jód;ID;μg;18.4;00011
Sůl;NACL;g;1.5;00012
Cukry, škrob, polyoly, organické kyseliny;;;;
Cukry celkové;SUGAR;g;;
Fruktosa;FRUS;g;;
Glukosa;GLUS;g;;
Laktosa;LACS;g;;
Maltosa;MALS;g;;
Sacharosa;SUCS;g;;
Škrob;STARCH;g;;
Organické kyseliny;OA;g;;
Polyoly;POLY;g;;
Mastné kyseliny a cholesterol;;;;
Nasycené mastné kyseliny;FASAT;g;5.23;00012
C 4:0;F4:0;g;0.07;00009
C 6:0;F6:0;g;0.05;00009
C 8:0;F8:0;g;0.03;00009
C 10:0;F10:0;g;0.08;00009
C 12:0;F12:0;g;0.09;00009
C 13:0;F13:0;g;;
C 14:0;F14:0;g;0.35;00009
C 15:0;F15:0;g;;
C 16:0;F16:0;g;3.10;00009
C 17:0;F17:0;g;;
C 18:0;F18:0;g;1.22;00009
C 20:0;F20:0;g;0.15;00009
C 22:0;F22:0;g;0.09;00009
Mononenasycené mastné kyseliny;FAMS;g;16.74;00012
C 14:1;F14:1CN5;g;0.05;00009
C 16:1;F16:1CN7;g;0.29;00009
C 17:1;F17:1;g;;
C 18:1, n-9;F18:1CN9;g;15.96;00009
C 20:1, n-11;F20:1CN11;g;0.37;00009
C 22:1, n-9;F22:1CN9;g;0.07;00009
Polynenasycené mastné kyseliny;FAPU;g;6.69;00012
n-6 mastné kyseliny;FACN6;g;4.76;00012
C 18:2, n-6;F18:2CN6;g;4.76;00009
C 18:3, n-6;F18:3CN6;g;;
C 20:4, n-6;F20:4CN6;g;;
n-3 mastné kyseliny;FACN3;g;1.93;00012
C 18:3, n-3;F18:3CN3;g;1.93;00009
C 20:5, n-3 (EPA);F20:5CN3;g;;
C 22:5, n-3 (DPA);F22:5CN3;g;;
C 22:6, n-3 (DHA);F22:6CN3;g;;
Trans- mastné kyseliny;FATRN;g;;
C 18:1, n-9 trans;F18:1TN9;g;;
C 18:2, n-6 trans;F18:2 TTN6;g;;
Cholesterol;CHORL;mg;;
Aminokyseliny;;;;
Glycin;GLY;mg;;
Alanin;ALA;mg;;
Valin;VAL;mg;;
Leucin;LEU;mg;;
Isoleucin;ILE;mg;;
Serin;SER;mg;;
Threonin;THR;mg;;
Lysin;LYS;mg;;
Asparagová kyselina;ASP;mg;;
Glutamová kyselina;GLU;mg;;
Arginin;ARG;mg;;
Cystein;CYS;mg;;
Methionin;MET;mg;;
Fenylalanin;PHE;mg;;
Tyrosin;TYR;mg;;
Tryptofan;TRP;mg;;
Histidin;HIS;mg;;
Prolin;PRO;mg;;
