Maso vepřové, krkovice bez kosti, uzená, syrová;;;;
Název nutrientu;Kód EuroFIR;Jednotka;Hodnota;Citace
Nutrienty základní;;;;
Energetická hodnota (kJ);ENERC;kJ;786;00012
Energetická hodnota (kcal);ENERC;kcal;190;00012
Bílkoviny celkové [NCF:6.25];PROT;g;12.3;00012
Dusík celkový;NT;g;2.0;00047
Tuky celkové [FACF:0.910];FAT;g;15.6;00047
Sacharidy celkové;CHOT;g;0;00000
Sacharidy využitelné;CHO;g;0;00000
Vláknina potravy;FIBT;g;0;00000
Voda celková;WATER;g;68.2;00047
Ethanol;ALC;g;0;00000
Popel;ASH;g;4.0;00047
Vitaminy;;;;
Vitamin B1 (thiamin);THIA;mg;0.49;00047
Vitamin B2 (riboflavin);RIBF;mg;0.12;00047
Niacin ekvivalent;NIAEQ;NE;;
Niacin;NIA;mg;3.2;00047
Foláty celkové;FOL;μg;;
Kyselina pantothenová;PANTAC;mg;0.39;00047
Vitamin B6 (pyridoxin);PYRXN;mg;0.16;00047
Vitamin B12;VITB12;μg;;
Vitamin C;VITC;mg;0;00000
Vitamin A;VITA;RE;1;00012
Retinol;RETOL;μg;1;00047
beta-karoten;CARTB;μg;0;00000
Vitamin D;VITD;μg;;
Vitamin E;VITE;ATE;0.16;00012
alfa - tokoferol;TOCPHA;mg;0.16;00047
Minerální látky;;;;
Sodík;NA;mg;1380;00047
Hořčík;MG;mg;13;00047
Fosfor;P;mg;192;00047
Draslík;K;mg;371;00047
Vápník;CA;mg;15;00047
Železo;FE;mg;0.6;00047
Měď;CU;mg;;
Zinek;ZN;mg;1.60;00047
Selen;SE;μg;;
Jód;ID;μg;;
Sůl;NACL;g;3.5;00012
Cukry, škrob, polyoly, organické kyseliny;;;;
Cukry celkové;SUGAR;g;0;00000
Fruktosa;FRUS;g;;
Glukosa;GLUS;g;;
Laktosa;LACS;g;;
Maltosa;MALS;g;;
Sacharosa;SUCS;g;;
Škrob;STARCH;g;;
Organické kyseliny;OA;g;;
Polyoly;POLY;g;;
Mastné kyseliny a cholesterol;;;;
Nasycené mastné kyseliny;FASAT;g;4.33;00047
C 4:0;F4:0;g;;
C 6:0;F6:0;g;;
C 8:0;F8:0;g;;
C 10:0;F10:0;g;0.02;00047
C 12:0;F12:0;g;0.02;00047
C 13:0;F13:0;g;;
C 14:0;F14:0;g;0.25;00047
C 15:0;F15:0;g;;
C 16:0;F16:0;g;3.97;00047
C 17:0;F17:0;g;0.04;00047
C 18:0;F18:0;g;2.23;00047
C 20:0;F20:0;g;0.03;00047
C 22:0;F22:0;g;;
Mononenasycené mastné kyseliny;FAMS;g;6.14;00047
C 14:1;F14:1CN5;g;;
C 16:1;F16:1CN7;g;0.39;00047
C 17:1;F17:1;g;;
C 18:1, n-9;F18:1CN9;g;5.56;00047
C 20:1, n-11;F20:1CN11;g;0.14;00047
C 22:1, n-9;F22:1CN9;g;;
Polynenasycené mastné kyseliny;FAPU;g;0.97;00047
n-6 mastné kyseliny;FACN6;g;0.90;00047
C 18:2, n-6;F18:2CN6;g;0.87;00047
C 18:3, n-6;F18:3CN6;g;;
C 20:4, n-6;F20:4CN6;g;0.04;00047
n-3 mastné kyseliny;FACN3;g;0.07;00047
C 18:3, n-3;F18:3CN3;g;0.07;00047
C 20:5, n-3 (EPA);F20:5CN3;g;;
C 22:5, n-3 (DPA);F22:5CN3;g;;
C 22:6, n-3 (DHA);F22:6CN3;g;;
Trans- mastné kyseliny;FATRN;g;0.06;00047
C 18:1, n-9 trans;F18:1TN9;g;0.06;00047
C 18:2, n-6 trans;F18:2 TTN6;g;;
Cholesterol;CHORL;mg;47;00047
Aminokyseliny;;;;
Glycin;GLY;mg;673;00047
Alanin;ALA;mg;699;00047
Valin;VAL;mg;528;00047
Leucin;LEU;mg;901;00047
Isoleucin;ILE;mg;498;00047
Serin;SER;mg;458;00047
Threonin;THR;mg;531;00047
Lysin;LYS;mg;669;00047
Asparagová kyselina;ASP;mg;1014;00047
Glutamová kyselina;GLU;mg;1688;00047
Arginin;ARG;mg;662;00047
Cystein;CYS;mg;207;00047
Methionin;MET;mg;296;00047
Fenylalanin;PHE;mg;449;00047
Tyrosin;TYR;mg;304;00047
Tryptofan;TRP;mg;;
Histidin;HIS;mg;351;00047
Prolin;PRO;mg;534;00047
