Prášek kakaový;;;;
Název nutrientu;Kód EuroFIR;Jednotka;Hodnota;Citace
Nutrienty základní;;;;
Energetická hodnota (kJ);ENERC;kJ;1605;00012
Energetická hodnota (kcal);ENERC;kcal;387;00012
Bílkoviny celkové [NCF:6.25];PROT;g;22.1;00012
Dusík celkový;NT;g;3.54;00072
Tuky celkové [FACF:0.956];FAT;g;20.6;00072
Sacharidy celkové;CHOT;g;43.10;00012
Sacharidy využitelné;CHO;g;13.52;00012
Vláknina potravy;FIBT;g;29.58;00072
Voda celková;WATER;g;4.2;00072
Ethanol;ALC;g;0;00000
Popel;ASH;g;10.0;00072
Vitaminy;;;;
Vitamin B1 (thiamin);THIA;mg;0.09;00020
Vitamin B2 (riboflavin);RIBF;mg;0.11;00020
Niacin ekvivalent;NIAEQ;NE;;
Niacin;NIA;mg;;
Foláty celkové;FOL;μg;;
Kyselina pantothenová;PANTAC;mg;;
Vitamin B6 (pyridoxin);PYRXN;mg;;
Vitamin B12;VITB12;μg;;
Vitamin C;VITC;mg;0;00004
Vitamin A;VITA;RE;1;00012
Retinol;RETOL;μg;0;00004
beta-karoten;CARTB;μg;12;00002
Vitamin D;VITD;μg;;
Vitamin E;VITE;ATE;0.2;00012
alfa - tokoferol;TOCPHA;mg;0.2;00004
Minerální látky;;;;
Sodík;NA;mg;12;00072
Hořčík;MG;mg;409;00020
Fosfor;P;mg;661;00020
Draslík;K;mg;1955;00020
Vápník;CA;mg;127;00020
Železo;FE;mg;8.0;00020
Měď;CU;mg;;
Zinek;ZN;mg;;
Selen;SE;μg;;
Jód;ID;μg;;
Sůl;NACL;g;0.03;00012
Cukry, škrob, polyoly, organické kyseliny;;;;
Cukry celkové;SUGAR;g;1.11;00012
Fruktosa;FRUS;g;0.52;00072
Glukosa;GLUS;g;0;00072
Laktosa;LACS;g;0;00000
Maltosa;MALS;g;0;00072
Sacharosa;SUCS;g;0.59;00072
Škrob;STARCH;g;;
Organické kyseliny;OA;g;;
Polyoly;POLY;g;;
Mastné kyseliny a cholesterol;;;;
Nasycené mastné kyseliny;FASAT;g;12.60;00012
C 4:0;F4:0;g;0;00072
C 6:0;F6:0;g;0;00072
C 8:0;F8:0;g;0;00072
C 10:0;F10:0;g;0;00072
C 12:0;F12:0;g;0;00072
C 13:0;F13:0;g;0;00072
C 14:0;F14:0;g;0.02;00072
C 15:0;F15:0;g;0;00072
C 16:0;F16:0;g;5.01;00072
C 17:0;F17:0;g;0;00072
C 18:0;F18:0;g;7.36;00072
C 20:0;F20:0;g;0.21;00072
C 22:0;F22:0;g;0;00072
Mononenasycené mastné kyseliny;FAMS;g;6.47;00012
C 14:1;F14:1CN5;g;0;00072
C 16:1;F16:1CN7;g;0.05;00072
C 17:1;F17:1;g;0;00072
C 18:1, n-9;F18:1CN9;g;6.43;00072
C 20:1, n-11;F20:1CN11;g;0;00072
C 22:1, n-9;F22:1CN9;g;0;00072
Polynenasycené mastné kyseliny;FAPU;g;0.56;00012
n-6 mastné kyseliny;FACN6;g;0.53;00012
C 18:2, n-6;F18:2CN6;g;0.53;00072
C 18:3, n-6;F18:3CN6;g;0;00072
C 20:4, n-6;F20:4CN6;g;0;00072
n-3 mastné kyseliny;FACN3;g;0.03;00012
C 18:3, n-3;F18:3CN3;g;0.03;00072
C 20:5, n-3 (EPA);F20:5CN3;g;0;00072
C 22:5, n-3 (DPA);F22:5CN3;g;;
C 22:6, n-3 (DHA);F22:6CN3;g;0;00072
Trans- mastné kyseliny;FATRN;g;0;00012
C 18:1, n-9 trans;F18:1TN9;g;0;00072
C 18:2, n-6 trans;F18:2 TTN6;g;0;00072
Cholesterol;CHORL;mg;0;00000
Aminokyseliny;;;;
Glycin;GLY;mg;;
Alanin;ALA;mg;;
Valin;VAL;mg;;
Leucin;LEU;mg;;
Isoleucin;ILE;mg;;
Serin;SER;mg;;
Threonin;THR;mg;;
Lysin;LYS;mg;;
Asparagová kyselina;ASP;mg;;
Glutamová kyselina;GLU;mg;;
Arginin;ARG;mg;;
Cystein;CYS;mg;;
Methionin;MET;mg;;
Fenylalanin;PHE;mg;;
Tyrosin;TYR;mg;;
Tryptofan;TRP;mg;;
Histidin;HIS;mg;;
Prolin;PRO;mg;;
