Salát rybí, trh;;;;
Název nutrientu;Kód EuroFIR;Jednotka;Hodnota;Citace
Nutrienty základní;;;;
Energetická hodnota (kJ);ENERC;kJ;1190;00012
Energetická hodnota (kcal);ENERC;kcal;287;00012
Bílkoviny celkové [NCF:6.25];PROT;g;6.0;00012
Dusík celkový;NT;g;1.0;00009
Tuky celkové [FACF:0.956];FAT;g;27.0;00011
Sacharidy celkové;CHOT;g;5.1;00012
Sacharidy využitelné;CHO;g;;
Vláknina potravy;FIBT;g;;
Voda celková;WATER;g;59.9;00011
Ethanol;ALC;g;0;00000
Popel;ASH;g;2.0;00009
Vitaminy;;;;
Vitamin B1 (thiamin);THIA;mg;0.04;00011
Vitamin B2 (riboflavin);RIBF;mg;0.08;00011
Niacin ekvivalent;NIAEQ;NE;;
Niacin;NIA;mg;0.5;00011
Foláty celkové;FOL;μg;;
Kyselina pantothenová;PANTAC;mg;;
Vitamin B6 (pyridoxin);PYRXN;mg;0.07;00011
Vitamin B12;VITB12;μg;;
Vitamin C;VITC;mg;0;00009
Vitamin A;VITA;RE;52;00012
Retinol;RETOL;μg;10;00009
beta-karoten;CARTB;μg;500;00009
Vitamin D;VITD;μg;;
Vitamin E;VITE;ATE;11.63;00012
alfa - tokoferol;TOCPHA;mg;11.63;00009
Minerální látky;;;;
Sodík;NA;mg;522;00011
Hořčík;MG;mg;7;00011
Fosfor;P;mg;64;00011
Draslík;K;mg;88;00011
Vápník;CA;mg;27;00011
Železo;FE;mg;0.4;00011
Měď;CU;mg;0.04;00011
Zinek;ZN;mg;0.38;00011
Selen;SE;μg;;
Jód;ID;μg;10.9;00011
Sůl;NACL;g;1.3;00012
Cukry, škrob, polyoly, organické kyseliny;;;;
Cukry celkové;SUGAR;g;;
Fruktosa;FRUS;g;;
Glukosa;GLUS;g;;
Laktosa;LACS;g;;
Maltosa;MALS;g;;
Sacharosa;SUCS;g;;
Škrob;STARCH;g;;
Organické kyseliny;OA;g;;
Polyoly;POLY;g;;
Mastné kyseliny a cholesterol;;;;
Nasycené mastné kyseliny;FASAT;g;2.47;00012
C 4:0;F4:0;g;0;00009
C 6:0;F6:0;g;0;00009
C 8:0;F8:0;g;0;00009
C 10:0;F10:0;g;0;00009
C 12:0;F12:0;g;0;00009
C 13:0;F13:0;g;;
C 14:0;F14:0;g;0.21;00009
C 15:0;F15:0;g;;
C 16:0;F16:0;g;1.52;00009
C 17:0;F17:0;g;;
C 18:0;F18:0;g;0.48;00009
C 20:0;F20:0;g;0.16;00009
C 22:0;F22:0;g;0.10;00009
Mononenasycené mastné kyseliny;FAMS;g;15.60;00012
C 14:1;F14:1CN5;g;0.02;00009
C 16:1;F16:1CN7;g;0.20;00009
C 17:1;F17:1;g;;
C 18:1, n-9;F18:1CN9;g;13.86;00009
C 20:1, n-11;F20:1CN11;g;0.74;00009
C 22:1, n-9;F22:1CN9;g;0.78;00009
Polynenasycené mastné kyseliny;FAPU;g;6.74;00012
n-6 mastné kyseliny;FACN6;g;5.04;00012
C 18:2, n-6;F18:2CN6;g;5.04;00009
C 18:3, n-6;F18:3CN6;g;;
C 20:4, n-6;F20:4CN6;g;;
n-3 mastné kyseliny;FACN3;g;1.70;00012
C 18:3, n-3;F18:3CN3;g;1.70;00009
C 20:5, n-3 (EPA);F20:5CN3;g;;
C 22:5, n-3 (DPA);F22:5CN3;g;;
C 22:6, n-3 (DHA);F22:6CN3;g;;
Trans- mastné kyseliny;FATRN;g;;
C 18:1, n-9 trans;F18:1TN9;g;;
C 18:2, n-6 trans;F18:2 TTN6;g;;
Cholesterol;CHORL;mg;;
Aminokyseliny;;;;
Glycin;GLY;mg;;
Alanin;ALA;mg;;
Valin;VAL;mg;;
Leucin;LEU;mg;;
Isoleucin;ILE;mg;;
Serin;SER;mg;;
Threonin;THR;mg;;
Lysin;LYS;mg;;
Asparagová kyselina;ASP;mg;;
Glutamová kyselina;GLU;mg;;
Arginin;ARG;mg;;
Cystein;CYS;mg;;
Methionin;MET;mg;;
Fenylalanin;PHE;mg;;
Tyrosin;TYR;mg;;
Tryptofan;TRP;mg;;
Histidin;HIS;mg;;
Prolin;PRO;mg;;
