Mouka sójová plnotučná;;;;
Název nutrientu;Kód EuroFIR;Jednotka;Hodnota;Citace
Nutrienty základní;;;;
Energetická hodnota (kJ);ENERC;kJ;1712;00012
Energetická hodnota (kcal);ENERC;kcal;412;00012
Bílkoviny celkové [NCF:6.25];PROT;g;35.6;00012
Dusík celkový;NT;g;5.7;00068
Tuky celkové [FACF:0.670];FAT;g;20.9;00068
Sacharidy celkové;CHOT;g;30.5;00012
Sacharidy využitelné;CHO;g;9.9;00012
Vláknina potravy;FIBT;g;20.6;00068
Voda celková;WATER;g;7.7;00068
Ethanol;ALC;g;0;00000
Popel;ASH;g;5.3;00068
Vitaminy;;;;
Vitamin B1 (thiamin);THIA;mg;0.54;00020
Vitamin B2 (riboflavin);RIBF;mg;0.29;00020
Niacin ekvivalent;NIAEQ;NE;;
Niacin;NIA;mg;;
Foláty celkové;FOL;μg;;
Kyselina pantothenová;PANTAC;mg;;
Vitamin B6 (pyridoxin);PYRXN;mg;;
Vitamin B12;VITB12;μg;;
Vitamin C;VITC;mg;0;00020
Vitamin A;VITA;RE;6;00012
Retinol;RETOL;μg;0;00020
beta-karoten;CARTB;μg;72;00041
Vitamin D;VITD;μg;;
Vitamin E;VITE;ATE;1.95;00012
alfa - tokoferol;TOCPHA;mg;1.95;00041
Minerální látky;;;;
Sodík;NA;mg;0;00068
Hořčík;MG;mg;267;00020
Fosfor;P;mg;522;00020
Draslík;K;mg;1406;00020
Vápník;CA;mg;166;00020
Železo;FE;mg;12.4;00020
Měď;CU;mg;;
Zinek;ZN;mg;;
Selen;SE;μg;;
Jód;ID;μg;;
Sůl;NACL;g;0;00012
Cukry, škrob, polyoly, organické kyseliny;;;;
Cukry celkové;SUGAR;g;8.2;00012
Fruktosa;FRUS;g;0.1;00068
Glukosa;GLUS;g;0;00068
Laktosa;LACS;g;0;00068
Maltosa;MALS;g;0;00068
Sacharosa;SUCS;g;8.1;00068
Škrob;STARCH;g;;
Organické kyseliny;OA;g;;
Polyoly;POLY;g;;
Mastné kyseliny a cholesterol;;;;
Nasycené mastné kyseliny;FASAT;g;2.07;00012
C 4:0;F4:0;g;0;00068
C 6:0;F6:0;g;0;00068
C 8:0;F8:0;g;0;00068
C 10:0;F10:0;g;0;00068
C 12:0;F12:0;g;0;00068
C 13:0;F13:0;g;0;00068
C 14:0;F14:0;g;0.02;00068
C 15:0;F15:0;g;0;00068
C 16:0;F16:0;g;1.40;00068
C 17:0;F17:0;g;0;00068
C 18:0;F18:0;g;0.54;00068
C 20:0;F20:0;g;0.05;00068
C 22:0;F22:0;g;0.06;00068
Mononenasycené mastné kyseliny;FAMS;g;3.76;00012
C 14:1;F14:1CN5;g;0;00068
C 16:1;F16:1CN7;g;0.02;00068
C 17:1;F17:1;g;0;00068
C 18:1, n-9;F18:1CN9;g;3.72;00068
C 20:1, n-11;F20:1CN11;g;0.02;00068
C 22:1, n-9;F22:1CN9;g;0;00068
Polynenasycené mastné kyseliny;FAPU;g;8.15;00012
n-6 mastné kyseliny;FACN6;g;7.07;00012
C 18:2, n-6;F18:2CN6;g;7.07;00068
C 18:3, n-6;F18:3CN6;g;0;00068
C 20:4, n-6;F20:4CN6;g;0;00068
n-3 mastné kyseliny;FACN3;g;1.08;00012
C 18:3, n-3;F18:3CN3;g;1.08;00068
C 20:5, n-3 (EPA);F20:5CN3;g;0;00068
C 22:5, n-3 (DPA);F22:5CN3;g;;
C 22:6, n-3 (DHA);F22:6CN3;g;0;00068
Trans- mastné kyseliny;FATRN;g;0;00012
C 18:1, n-9 trans;F18:1TN9;g;0;00068
C 18:2, n-6 trans;F18:2 TTN6;g;0;00068
Cholesterol;CHORL;mg;0;00000
Aminokyseliny;;;;
Glycin;GLY;mg;;
Alanin;ALA;mg;;
Valin;VAL;mg;;
Leucin;LEU;mg;;
Isoleucin;ILE;mg;;
Serin;SER;mg;;
Threonin;THR;mg;;
Lysin;LYS;mg;;
Asparagová kyselina;ASP;mg;;
Glutamová kyselina;GLU;mg;;
Arginin;ARG;mg;;
Cystein;CYS;mg;;
Methionin;MET;mg;;
Fenylalanin;PHE;mg;;
Tyrosin;TYR;mg;;
Tryptofan;TRP;mg;;
Histidin;HIS;mg;;
Prolin;PRO;mg;;
